city,state,date,PM2_5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,temperature,humidity
Guwahati,Assam,2022-01-30,129.80058781015362,210.05121381486543,,11.807618538519613,0.8061735342519507,132.93199593393987,,Severe,10.938772377459584,62.358711523220336
Nagpur,Maharashtra,2022-11-17,,210.89742880899294,11.418031348452619,18.525808380217757,0.8228451885996256,48.28428637012798,403.89354279329734,Severe,21.77241810520222,71.37676527792998
LUCKNOW,Uttar Pradesh,2022-07-15,73.77709748000578,118.48767611252553,,18.235313113689216,0.41942606612447486,18.698864914031134,307.6504964916241,Very Poor,33.77489241731488,77.54394799380869
Jaipur,Rajasthan,2021-06-17,105.45350486903183,79.9466935422115,23.792740343709763,20.226679287905124,0.1464237008738097,27.671427239888253,439.7411153038627,,33.26620022457226,52.714738052112175
Vadodara,Gujarat,2022-06-25,67.50697497562979,1264.4896787120051,12.868081157766982,6.413637780828098,0.02988858240758619,54.15709818078709,281.5040856483762,Poor,37.29326338670527,48.98523502999255
Ghaziabad,Uttar Pradesh,2022-04-20,28.497095083625876,43.42421461544055,,18.539517777403674,,,118.8328864987199,Moderate,31.337546363662746,42.01942992326571
Rajkot,Gujarat,2023/01/02,235.99671070133445,718.7527787206244,53.18980272978415,45.45191548619967,0.07041410686876479,,984.1062836245646,Severe,,
Guwahati,Assam,2021-05-04,,,42.82582215389554,2.2344985317023114,0.2638078840145554,44.54668307515822,349.0254726969773,Very Poor,39.430129881173585,31.287919037812216
Bhopal,Madhya Pradesh,2023-07-08,46.64841036028287,156.2098339094742,5.9919103784796555,13.111973966466161,,26.051701625408807,194.52387120237955,Moderate,26.012344652584883,85.69670775252389
Guwahati,Assam,2021-08-25,119.71535520032666,299.6151637402808,45.739592610832894,24.885444371609037,0.47399897131013247,27.026270401451427,,Severe,28.664790054293697,89.67638851012444
Guwahati,Assam,2022-10-08,111.35432013577119,220.0907337200044,,33.96782911415153,0.3468168570550987,26.657617480757686,464.3475149661659,,,71.0491585717569
Allahabad,Uttar Pradesh,2022-10-27,81.4864720721194,284.37593856730643,54.43499301459247,21.885853401596428,1.3769310348407062,,339.7985885407379,Very Poor,,
Patna,Bihar,2022-09-22,34.49056888140466,217.96899048844026,,27.317028153109078,1.054452943417782,151.39218311799377,143.82567223545743,Moderate,,70.41077909367827
Faridabad,Haryana,2023-01-09,,267.29766000684566,22.122076688928637,,,64.24071107813788,538.855661558616,,19.393960202444134,64.00161296572202
Guwahati,Assam,06-11-2023,349.20083103097494,828.2094403176106,24.23223935787922,,0.7131179005319557,17.453093291291147,1456.1674653991654,Severe,16.268598406419407,60.55957956639243
Allahabad,Uttar Pradesh,2022-07-08,88.57224230191261,,,15.260452678713431,0.07188654353386478,32.88827039742936,,Very Poor,28.626657175166788,89.06671796021432
Patna,Bihar,2022-03-03,40.01513417013791,198.9060878618329,64.0566796476136,6.7488854092108825,0.9180013762856971,36.64304183471731,,Moderate,29.670768746904226,58.20800597098611
Bhopal,Madhya Pradesh,2022-11-20,,223.8029192004561,11.87971683099072,28.611824730171254,2.4466040705141796,38.216527872464326,320.96114302190324,,27.638830625163116,47.023074610341936
Patna,Bihar,2022-02-15,414.8393282652643,399.878579753046,31.063425041133627,6.786597045453332,1.763455655939579,21.952189660416966,1729.8799988661522,Severe,25.564761191104537,42.531698215829124
Delhi,Delhi,2022-11-21,182.70264887221694,355.1273591159581,2.443491351218057,,0.3981880830097597,30.427278419576208,761.8700457971446,Severe,10.24288220023583,45.13580284510819
Bhopal,Madhya Pradesh,08/06/2021,213.28874753005033,289.26571790305894,,15.363890855711228,,14.13666976101322,,Severe,37.85653642747924,60.47704415708054
Chennai,Tamil Nadu,2023-10-30,380.194546914944,569.8925932551823,,25.037343759092238,0.2495759309281115,80.33061721602355,,Severe,15.038733189815982,
Nagpur,Maharashtra,2022-03-10,141.92269100814448,132.03612266536788,50.71463467802248,23.054283357658854,0.8878774462323045,,,Severe,36.05971702374002,58.496242658646416
Varanasi,Uttar Pradesh,2023-06-10,27.45025803415965,44.65295365056756,11.864014425750808,22.971583610867672,0.8010727749471802,56.32532877624316,114.46757600244574,Moderate,29.03629211263807,31.592784205357212
Bangalore,Karnataka,2023-09-24,133.63988401382343,,,4.520444913018955,0.6110103415119824,61.11243613484385,557.2783163376437,Severe,29.629740118747545,92.28873588236544
Ranchi,Jharkhand,16-08-2022,41.32018288993298,101.34972157544881,59.148617547662695,25.575092974244594,0.08398973235759775,61.949130400939715,172.3051626510205,Moderate,29.938470147415615,65.29101064769127
Vadodara,Gujarat,2023-10-28,192.497259866838,527.0638263583421,,,0.20027502765103875,36.58719162004934,802.7135736447144,Severe,22.779380293494093,
Allahabad,Uttar Pradesh,2022-06-26,60.85739339474897,187.56130646698608,22.976767619863903,23.362530315284772,0.5001024584073427,16.328272770951166,253.7753304561032,Poor,29.824242938980596,40.279205493509515
Visakhapatnam,Andhra Pradesh,2021-01-22,161.9128963858367,524.1538612812676,25.86282755353492,28.34295395438014,1.1188590877069964,84.42281530501259,675.176777928939,Severe,25.371374726412427,
Rajkot,Gujarat,21/04/2023,,198.60720703770164,22.83032034216108,9.08801533648794,1.1412977599686822,24.99799116398718,255.78117910380593,Poor,28.765704963715773,65.3455320419208
Vadodara,Gujarat,2021-09-18,77.24215733186908,265.6268344355386,13.626628003215819,1.9384189177660147,1.5168330389243765,88.2189569516359,322.0997960738941,Very Poor,29.93630740950464,77.22540006450735
Ghaziabad,Uttar Pradesh,07-09-2023,133.83556159196206,217.99770299174455,26.42072437406207,6.015466415570714,0.6497188602841475,46.81762260638931,,Severe,31.648105145015826,86.25726336945667
Chennai,Tamil Nadu,2021-01-21,39.49392421206996,84.96065614869507,18.69347802750768,20.610195989787968,2.232128266769436,63.401827899419104,164.68966396433174,Moderate,17.94302476817586,
Patna,Bihar,2023-09-18,-63.242908160807325,156.85447980501988,16.427637657256547,30.822177228970343,2.549504988862111,19.405115925850847,263.72292703056655,Poor,31.28357908750365,86.04501698229743
Ludhiana,Punjab,2021/07/20,55.35452308967458,73.9034849296453,53.93886827573096,32.350098601200955,1.6641208051747904,19.60772349041688,230.828361283943,Poor,27.389834253085663,81.3514848400944
Nagpur,Maharashtra,2021/04/02,,256.44463461292156,48.73326259278953,10.66366618476237,0.4563587251861647,20.307358017636517,239.5493006091549,Poor,35.991657028815176,35.630109413391146
Kanpur,Uttar Pradesh,2023-02-16,240.80190608627032,313.85541527789286,,8.470994369269798,1.1733189597202167,163.08749331237587,1004.1439483797473,Severe,,68.41500535917326
Bhopal,Madhya Pradesh,17-12-2023,237.63546903049092,702.351290590083,19.033214178367224,9.92650411824216,0.22625990722912503,22.270190814432297,990.9399058571471,Severe,12.37077163371439,
Meerut,Uttar Pradesh,2023/01/25,189.24125416063998,464.2330691092639,,7.105967643809623,,88.16591631629026,789.1360298498687,Severe,22.182594369150216,41.88525006762812
Pune,Maharashtra,07-09-2022,-59.82530760671268,,,12.113981446327243,0.10003996743360205,,249.47153271999187,Poor,25.0305108232824,87.4843225812874
Hyderabad,Telangana,2022-09-11,104.87594180705138,215.09642340869885,33.26138206767138,21.292930587728435,,,437.33267733540424,Severe,,93.22151238917326
Kolkata,West Bengal,2022-09-14,52.1930140996434,125.01689043847072,28.758613906029943,9.043778796906345,0.9232586240844642,37.574702956206295,,Poor,,
Vadodara,Gujarat,2023-02-22,137.51139467614226,301.58473930480136,,14.246049144367195,2.7742465175239595,30.484989437627462,573.4225157995132,Severe,11.144825854800352,62.06751871225847
Lucknow,Uttar Pradesh,2023-09-05,85.12580426469052,204.28814733968608,23.53810637152843,5.853925008826025,0.48137660393012105,40.445332447814344,354.97460378375945,Very Poor,34.83653627279554,73.64307174274273
Pune,Maharashtra,2023-10-28,,501.19854193986487,52.594086010253875,14.451622295650791,1.3545131757054973,,952.1937314634802,Severe,15.111255944566027,78.06502641893026
Visakhapatnam,Andhra Pradesh,2022-04-17,-67.9012815880717,122.32954257525047,12.648878889947806,12.813341732889217,0.22819059122732532,49.81427391562076,283.14834422225897,Poor,,30.57743916137283
Ranchi,Jharkhand,2022-09-16,101.71998006276971,259.17242763421154,52.256906772541086,29.94571298315618,0.37123878000966637,65.47193570831772,,Severe,30.057654423348055,
Meerut,Uttar Pradesh,2023-04-16,,91.76163615927324,19.477868822156186,11.415244580592583,,38.76776651660268,235.4128747370321,Poor,38.627602996554195,46.7013004591133
Delhi,Delhi,2022/06/03,,97.89861000016643,16.652250019575323,15.277401174316525,0.031673604601117615,44.19559939858605,201.79296999256803,Poor,,56.67992147503193
Amritsar,Punjab,2022/04/22,160.37671923612703,183.45334840965103,47.080312143107975,19.916874886996094,1.0122104356853852,54.96237987839614,668.7709192146497,Severe,29.224862003469546,
Nagpur,Maharashtra,2023-01-16,110.83107423880573,,75.89970821517946,2.454681829661624,,,462.1655795758199,Severe,15.630731710494036,60.7495732993103
Varanasi,Uttar Pradesh,2022-02-01,104.06219921413722,,28.84547091923721,6.353040466268348,0.7906597622527848,19.884504614485593,433.9393707229522,Severe,22.57579105398545,76.33649778868208
Ludhiana,Punjab,2023-05-31,26.737814955523596,77.29309352419972,,,0.22873466588886646,29.038185670258553,111.4966883645334,Moderate,36.14127189748407,43.17529938092741
Ghaziabad,Uttar Pradesh,2022-04-25,48.08899255960046,74.03512811961058,31.052640265849945,28.18248756609585,0.7129554278682367,58.74061612973601,200.53109897353391,Poor,32.022624665187095,36.47582440209434
Ludhiana,Punjab,2023-05-15,42.67848885747428,102.55015664139871,78.48679583440142,17.963116669966563,0.33656339360686993,39.67396954624307,177.96929853566775,Moderate,38.48318747144245,38.42867497298014
Indore,Madhya Pradesh,2023-07-09,28.596928693610156,,,14.06891156388201,0.6789258734820403,12.35341434739205,,Moderate,29.026316841106812,
Bangalore,Karnataka,2021/03/17,,281.4597731874722,32.48943385792323,5.063817706402273,0.41913192931448395,11.538756634458483,,Severe,37.789492274664006,33.78615023372269
Kanpur,Uttar Pradesh,01-17-2022,126.33103276605442,456.1042431420773,35.25452000273796,9.463549272841487,0.3590929466270396,,526.800406634447,Severe,,
Jaipur,Rajasthan,2023-08-16,72.90297317264154,97.23719639587526,69.01873013332003,23.33337843808041,,89.93409359440376,304.0053981299152,Very Poor,27.214272191842575,89.78276833582359
Faridabad,Haryana,2022-02-09,195.7091761105824,459.8120622374902,,,1.475429370504964,33.42732352765455,816.1072643811286,Severe,23.289778545489384,75.00688684954727
Kanpur,Uttar Pradesh,2023/05/08,154.47940340786351,190.7498449364236,38.26969423213379,10.54944890443995,1.310715469062379,59.07055836465956,644.1791122107909,Severe,39.300508659147255,39.313717173416855
Varanasi,Uttar Pradesh,2022-02-09,76.15558894780327,121.45533867889071,37.694668457125395,,0.19345877787358967,39.96865097972995,,Very Poor,23.915463713911564,42.49574866097692
Delhi,Delhi,2022-10-25,179.12570504037916,,15.68390654130959,15.059532645134363,1.531289962966446,27.135463611432908,746.954190018381,Severe,25.920346004461734,72.1729589080698
Amritsar,Punjab,2021-05-31,,336.7859779218806,13.570829476674616,,0.9067124791716307,14.219208237645926,455.4632288529556,Severe,40.267980599692734,32.20417031191429
Srinagar,Jammu and Kashmir,2021-12-27,,154.22570896891347,,24.458026905247632,0.09110964580105615,15.865057411340054,424.4682836462827,Severe,21.242486043009524,71.17876224411424
Kolkata,West Bengal,2022-10-09,259.97330314145614,644.1720393493289,,14.066725889470097,,26.286441977495524,1084.0886740998722,Severe,21.183264082892983,
Jaipur,Rajasthan,2021-11-25,231.15297195806565,374.91488694939386,41.7367826592706,9.247912893469932,,27.827898596956324,963.9078930651337,Severe,11.19987693681951,79.94243226342515
Varanasi,Uttar Pradesh,2023-11-25,206.1235657008615,701.508723089031,18.346739772470013,6.465919630518251,1.0787814660561514,110.06959448415404,859.5352689725923,Severe,23.057481354156124,48.09043510736052
